topology,n,n_actual,seed,degree_auc,degree_stop,degree_fc,CoreHD-0.01n_auc,CoreHD-0.01n_stop,CoreHD-0.01n_fc,gnn-dyn-b25-dfs_auc,gnn-dyn-b25-dfs_stop,gnn-dyn-b25-dfs_fc,rl-greedy-mixed_auc,rl-greedy-mixed_stop,rl-greedy-mixed_fc,rl-greedy-dfs_auc,rl-greedy-dfs_stop,rl-greedy-dfs_fc
er,500,499,1500009,0.3709,277,0.7234,0.303,194,0.4729,0.3067,222,0.5411,0.3029,205,0.5311,0.3027,221,0.5411
er,500,497,1500010,0.3538,262,0.7123,0.2893,187,0.4527,0.2907,200,0.5573,0.2922,193,0.5252,0.2924,207,0.5372
er,500,498,1500011,0.3441,267,0.7691,0.2842,183,0.4498,0.2955,209,0.5,0.2891,197,0.4859,0.2862,212,0.5221
er,500,498,1500012,0.3415,248,0.6506,0.2896,184,0.4679,0.303,219,0.5522,0.2983,206,0.5422,0.2954,211,0.5462
er,500,500,1500013,0.3341,254,0.704,0.2844,191,0.43,0.2933,207,0.534,0.2907,198,0.526,0.2915,212,0.534
er,500,498,1500014,0.3359,248,0.6948,0.2825,180,0.4558,0.2895,201,0.496,0.2848,193,0.492,0.289,207,0.5241
er,500,500,1500015,0.3359,230,0.754,0.2856,189,0.442,0.2998,220,0.526,0.2898,199,0.526,0.2904,210,0.528
er,500,500,1500016,0.3469,277,0.68,0.2875,183,0.452,0.2917,210,0.518,0.2899,208,0.516,0.2871,208,0.524
er,500,497,1500017,0.3562,267,0.7666,0.2956,195,0.4708,0.2987,206,0.5553,0.305,215,0.5312,0.3036,219,0.5453
er,500,499,1500018,0.3506,255,0.7715,0.2997,194,0.4729,0.3011,204,0.5411,0.3011,211,0.515,0.3005,222,0.5391
er,500,500,1500019,0.3538,256,0.668,0.2918,198,0.442,0.2944,201,0.494,0.2924,189,0.496,0.2923,209,0.526
er,500,500,1500020,0.3523,249,0.704,0.288,189,0.436,0.297,202,0.544,0.2931,192,0.512,0.2931,204,0.546
er,500,498,1500021,0.3598,259,0.7088,0.3016,202,0.488,0.3109,220,0.5562,0.305,208,0.5321,0.3024,217,0.5562
er,500,499,1500022,0.3452,271,0.7395,0.2833,188,0.4569,0.2938,211,0.5291,0.2897,200,0.515,0.2899,211,0.5311
er,500,500,1500023,0.3505,269,0.662,0.3038,200,0.454,0.3096,221,0.53,0.3058,214,0.528,0.3025,217,0.546
er,500,500,1500024,0.3514,257,0.682,0.2981,198,0.464,0.3003,208,0.526,0.3058,212,0.526,0.3004,219,0.538
er,500,499,1500025,0.3448,246,0.8236,0.2899,198,0.4669,0.2921,198,0.501,0.2901,203,0.511,0.291,208,0.5271
er,500,499,1500026,0.3484,242,0.7194,0.2995,207,0.477,0.3047,213,0.5311,0.3027,208,0.5271,0.3038,221,0.5371
er,500,499,1500027,0.3363,244,0.7054,0.2896,187,0.4529,0.2942,211,0.503,0.293,208,0.511,0.288,210,0.521
er,500,499,1500028,0.3621,286,0.7275,0.286,186,0.4529,0.2875,200,0.509,0.2844,193,0.505,0.2907,211,0.5311
er,500,497,1500029,0.3562,264,0.7284,0.2956,196,0.4728,0.2984,216,0.5412,0.2991,213,0.5312,0.2943,208,0.5372
ws,500,500,2500000,0.396,319,0.884,0.3235,206,0.532,0.3117,226,0.574,0.3155,207,0.602,0.3148,221,0.59
ws,500,500,2500001,0.3865,313,0.892,0.3314,248,0.534,0.3199,235,0.56,0.3187,219,0.576,0.3107,216,0.57
ws,500,500,2500002,0.3997,320,0.848,0.3313,226,0.522,0.3188,220,0.602,0.3336,233,0.572,0.3189,219,0.594
ws,500,500,2500003,0.4006,316,0.908,0.327,215,0.526,0.3236,231,0.586,0.3201,210,0.586,0.3161,222,0.588
ws,500,500,2500004,0.3964,323,0.822,0.319,222,0.536,0.3224,214,0.588,0.3317,237,0.604,0.3169,222,0.61
ws,500,500,2500005,0.4029,323,0.89,0.3328,221,0.524,0.3294,239,0.568,0.328,220,0.59,0.3224,227,0.588
ws,500,500,2500006,0.3942,312,0.818,0.3245,219,0.536,0.3213,222,0.564,0.3341,237,0.582,0.3345,247,0.596
ws,500,500,2500007,0.3827,318,0.886,0.3209,215,0.526,0.314,207,0.604,0.3168,205,0.596,0.3144,216,0.6
ws,500,500,2500008,0.3825,312,0.8,0.3286,222,0.528,0.3382,248,0.618,0.3381,232,0.586,0.3275,246,0.598
ws,500,500,2500009,0.3775,292,0.91,0.3275,218,0.522,0.3216,219,0.578,0.3189,228,0.604,0.3052,219,0.616
ws,500,500,2500010,0.3919,298,0.928,0.3197,211,0.528,0.326,228,0.6,0.3246,219,0.614,0.323,241,0.614
ws,500,500,2500011,0.4038,330,0.918,0.3334,235,0.532,0.3311,235,0.586,0.3252,211,0.576,0.321,224,0.59
ws,500,500,2500012,0.3936,322,0.82,0.3185,210,0.532,0.3239,227,0.566,0.3258,215,0.582,0.3113,223,0.596
ws,500,500,2500013,0.4023,335,0.924,0.3066,203,0.528,0.313,217,0.56,0.3219,232,0.606,0.3094,220,0.586
ws,500,500,2500014,0.3947,322,0.888,0.3352,226,0.536,0.3288,224,0.576,0.322,212,0.592,0.319,227,0.592
ws,500,500,2500015,0.393,324,0.85,0.3301,230,0.528,0.3213,223,0.584,0.3179,228,0.6,0.309,211,0.586
ws,500,500,2500016,0.3996,328,0.94,0.3359,223,0.536,0.3278,225,0.586,0.3198,220,0.598,0.3158,221,0.606
ws,500,500,2500017,0.3999,324,0.926,0.3297,224,0.526,0.322,233,0.57,0.3326,225,0.618,0.3183,238,0.598
ws,500,500,2500018,0.3795,295,0.79,0.324,220,0.548,0.3228,220,0.578,0.3281,244,0.578,0.3034,209,0.596
ws,500,500,2500019,0.4011,332,0.932,0.3261,211,0.532,0.3204,234,0.606,0.3195,210,0.602,0.3077,220,0.6
ws,500,500,2500020,0.3906,325,0.936,0.3373,226,0.53,0.3308,248,0.578,0.3321,240,0.608,0.32,242,0.604
ws,500,500,2500021,0.3848,287,0.838,0.3319,227,0.524,0.3201,226,0.606,0.3255,237,0.6,0.3222,229,0.602
ws,500,500,2500022,0.4054,327,0.838,0.3214,221,0.532,0.3175,212,0.608,0.3249,225,0.61,0.3172,224,0.622
ws,500,500,2500023,0.4094,326,0.934,0.3266,219,0.538,0.3308,235,0.588,0.3365,250,0.612,0.3253,233,0.608
ws,500,500,2500024,0.3896,302,0.916,0.329,221,0.518,0.3232,229,0.584,0.3206,218,0.592,0.3145,219,0.586
ws,500,500,2500025,0.4059,327,0.904,0.3323,226,0.534,0.3259,225,0.588,0.3298,231,0.588,0.3245,239,0.582
ws,500,500,2500026,0.3916,321,0.908,0.3259,207,0.526,0.3185,222,0.604,0.323,214,0.596,0.3131,230,0.596
ws,500,500,2500027,0.4094,326,0.814,0.3214,213,0.534,0.3148,217,0.598,0.321,224,0.602,0.3124,219,0.606
ws,500,500,2500028,0.3983,316,0.896,0.3065,200,0.514,0.3107,217,0.558,0.3082,200,0.58,0.2973,215,0.596
ws,500,500,2500029,0.3849,310,0.924,0.3188,207,0.522,0.3256,219,0.566,0.3263,222,0.572,0.3188,220,0.606
